optimizer,loss,iterations,time
SGD(lr=0.01),0.49083592030296347,100,0.10738070000661537
"MiniBatchGD(lr=0.01,batch_size=4)",0.531488007125561,100,0.06148989999201149
GaussNewton,0.3108309937154338,2,0.00016340002184733748
LevenbergMarquardt,0.3108309937154339,4,0.00014259997988119721
